p1_L1 0.456973
p1_L2 0.444192
p1_L3 0.465117
p1_L4 0.448708
p1_L5 0.442282
p1_L6 0.427840
p1_L7 0.077501
p1_L8 -0.145201
p1_L9 -0.145362
p1_L10 -0.145423
p2_L1 1.354041
p2_L2 1.352699
p2_L3 1.387533
p2_L4 1.373503
p2_L5 1.369528
p2_L6 1.346773
p2_L7 1.000511
p2_L8 0.795558
p2_L9 0.795409
p2_L10 0.795352
p3_L1 1.980029
p3_L2 1.975942
p3_L3 2.018096
p3_L4 2.002992
p3_L5 1.999812
p3_L6 1.978305
p3_L7 1.633965
p3_L8 1.444457
p3_L9 1.444319
p3_L10 1.444266
p4_L1 1.086231
p4_L2 1.088097
p4_L3 1.139769
p4_L4 1.125912
p4_L5 1.124008
p4_L6 1.101130
p4_L7 0.755651
p4_L8 0.584249
p4_L9 0.584124
p4_L10 0.584076
p5_L1 1.213926
p5_L2 1.214799
p5_L3 1.274743
p5_L4 1.262242
p5_L5 1.259383
p5_L6 1.235064
p5_L7 0.888393
p5_L8 0.732922
p5_L9 0.732809
p5_L10 0.732766
p6_L1 1.122295
p6_L2 1.124791
p6_L3 1.184762
p6_L4 1.172635
p6_L5 1.169927
p6_L6 1.142034
p6_L7 0.791763
p6_L8 0.650359
p6_L9 0.650257
p6_L10 0.650217
p7_L1 0.334779
p7_L2 0.342788
p7_L3 0.385116
p7_L4 0.375922
p7_L5 0.373260
p7_L6 0.341390
p7_L7 -0.013858
p7_L8 -0.142151
p7_L9 -0.142244
p7_L10 -0.142279
