490753.80590	4240439.45319 0.82
490802.29321	4240417.43216 1.75
490842.18129	4240393.40320 2.39
490887.88980	4240364.38806 1.52
490934.22974	4240345.40020 1.66
490974.21077	4240325.08194 1.57
491014.44617	4240299.91694 0.77
