 model_row            width        mean_elev            maxWT         mean_rch       max_WT_loc   west_index   east_index
       112         700.0000           0.8374           0.4809           0.4268         200.0000          158          171
       113         700.0000           0.7266           0.4818           0.4220         200.0000          158          171
       114         750.0000           0.7143           0.4818           0.4207         250.0000          158          172
       115         800.0000           0.6700           0.4806           0.4149         200.0000          157          172
       116         800.0000           0.7330           0.4793           0.4136         200.0000          157          172
       117         800.0000           0.7495           0.4761           0.4093         200.0000          157          172
       118         750.0000           0.7686           0.4724           0.4135         200.0000          158          172
       119         750.0000           0.7629           0.4677           0.4160         200.0000          159          173
       120         700.0000           0.8161           0.4627           0.4149         200.0000          160          173
       121         550.0000           1.0391           0.4581           0.4251         150.0000          163          173
       122         450.0000           1.0710           0.4529           0.4266         150.0000          165          173
       123         400.0000           1.1534           0.4431           0.4217         150.0000          166          173
       124         450.0000           1.1248           0.4373           0.4087         150.0000          166          174
       125         400.0000           1.1984           0.4338           0.4033         150.0000          167          174
       126         350.0000           1.2354           0.4311           0.4020         150.0000          168          174
       127         300.0000           1.3387           0.4351           0.4200         100.0000          169          174
       128         450.0000           1.1535           0.4413           0.3995         100.0000          166          174
       129         500.0000           1.0766           0.4482           0.4119         150.0000          166          175
       130         500.0000           1.1359           0.4496           0.4182         150.0000          166          175
       131         500.0000           1.1133           0.4508           0.4210         150.0000          166          175
       132         500.0000           1.0940           0.4514           0.4222         150.0000          166          175
       133         450.0000           1.2222           0.4494           0.4257         150.0000          167          175
       134         500.0000           1.0965           0.4473           0.4219         200.0000          167          176
       135         450.0000           1.1881           0.4452           0.4209         150.0000          168          176
       136         400.0000           1.2021           0.4409           0.4161         150.0000          169          176
       137         400.0000           1.0798           0.4351           0.4073         150.0000          169          176
       138         350.0000           1.1295           0.4256           0.4043         150.0000          170          176
       139         400.0000           0.9463           0.4186           0.3898         200.0000          170          177
       140         400.0000           1.0383           0.4124           0.3852         200.0000          170          177
       141         400.0000           1.0476           0.4210           0.3823         150.0000          170          177
       142         350.0000           1.1425           0.4193           0.3881         150.0000          171          177
       143         350.0000           1.1440           0.4181           0.3883         150.0000          171          177
       144         350.0000           1.1154           0.4175           0.3927         150.0000          171          177
       145         350.0000           1.2163           0.4159           0.3887         150.0000          171          177
       146         400.0000           1.0668           0.4151           0.3888         200.0000          171          178
       147         400.0000           1.1283           0.4167           0.3869         150.0000          171          178
       148         400.0000           1.1413           0.4290           0.3926         150.0000          171          178
       149         400.0000           1.2595           0.4335           0.3983         150.0000          171          178
       150         400.0000           1.2792           0.4364           0.4039         150.0000          171          178
       151         400.0000           1.2127           0.4386           0.4092         150.0000          171          178
       152         400.0000           1.0460           0.4444           0.4157         150.0000          171          178
       153         450.0000           0.9352           0.4479           0.4227         200.0000          171          179
       154         450.0000           1.0161           0.4522           0.4293         200.0000          171          179
       155         450.0000           1.1106           0.4548           0.4315         150.0000          171          179
       156         450.0000           0.9268           0.4584           0.4335         150.0000          171          179
       157         450.0000           1.0898           0.4616           0.4345         150.0000          171          179
       158         450.0000           1.1138           0.4616           0.4352         150.0000          171          179
       159         450.0000           1.0867           0.4622           0.4355         150.0000          171          179
       160         450.0000           1.1322           0.4644           0.4347         150.0000          171          179
       161         450.0000           1.0922           0.4657           0.4428         200.0000          172          180
       162         450.0000           1.1207           0.4662           0.4446         200.0000          172          180
       163         450.0000           1.1033           0.4664           0.4461         200.0000          172          180
       164         450.0000           0.9558           0.4663           0.4466         200.0000          172          180
       165         450.0000           0.9227           0.4651           0.4471         200.0000          172          180
       166         450.0000           0.8516           0.4630           0.4449         150.0000          172          180
       167         450.0000           1.0492           0.4603           0.4382         150.0000          172          180
